game_id,round_id,player_id,to_hare1,to_hare2,to_stag1,chat_visible,others_visible,action
51,1,player2,10,14,0,False,False,miss
51,2,player1,13,12,7,False,False,stag
51,2,player2,14,13,8,False,False,stag
51,3,player1,8,12,12,False,False,stag
51,3,player2,8,12,12,False,False,stag
51,4,player1,15,10,9,False,False,stag
51,4,player2,14,9,8,False,False,stag
51,5,player1,3,6,9,False,False,stag
51,5,player2,3,6,9,False,False,stag
52,1,player1,7,3,10,True,False,hare
52,1,player2,10,0,13,True,False,hare
52,2,player1,0,17,15,True,False,hare
52,2,player2,8,9,7,True,False,hare
52,3,player1,15,0,9,True,False,hare
52,3,player2,15,4,9,True,False,hare
52,4,player1,1,16,6,True,False,hare
52,4,player2,17,0,10,True,False,hare
52,5,player1,0,7,9,True,False,hare
52,5,player2,4,3,7,True,False,hare
53,1,player1,5,3,3,True,False,miss
53,1,player2,0,2,6,True,False,miss
53,2,player1,8,14,8,True,False,stag
53,2,player2,8,14,8,True,False,stag
53,3,player1,9,8,14,True,False,stag
53,3,player2,10,9,15,True,False,stag
53,4,player1,10,8,2,True,False,stag
53,4,player2,9,9,1,True,False,stag
53,5,player1,9,8,9,True,False,stag
53,5,player2,9,8,9,True,False,stag
54,2,player1,11,12,5,False,True,stag
54,2,player2,12,13,6,False,True,stag
54,3,player1,2,8,11,False,True,stag
54,3,player2,3,9,12,False,True,stag
54,4,player1,10,8,4,False,True,stag
54,4,player2,9,9,5,False,True,stag
54,5,player1,2,5,2,False,True,stag
54,5,player2,1,4,3,False,True,stag
55,1,player1,5,5,8,False,False,hare
55,1,player2,4,0,3,False,False,hare
55,2,player1,8,6,8,False,False,stag
55,2,player2,8,6,8,False,False,stag
55,3,player1,13,20,4,False,False,stag
55,3,player2,13,20,4,False,False,stag
55,4,player1,10,9,6,False,False,stag
55,4,player2,11,10,5,False,False,stag
55,5,player1,12,3,6,False,False,stag
55,5,player2,13,4,7,False,False,stag
56,1,player1,1,6,5,False,True,hare
56,1,player2,9,2,13,False,True,hare
56,2,player1,8,1,4,False,True,hare
56,2,player2,11,4,1,False,True,hare
56,3,player1,10,11,16,False,True,stag
56,3,player2,5,8,9,False,True,stag
56,4,player1,5,1,7,False,True,stag
56,4,player2,6,2,6,False,True,stag
56,5,player1,9,3,6,False,True,stag
56,5,player2,10,4,7,False,True,stag
57,1,player1,12,5,3,False,True,hare
57,1,player2,0,9,15,False,True,hare
57,2,player1,13,14,1,False,True,hare
57,2,player2,9,0,13,False,True,hare
57,3,player1,4,6,0,False,True,hare
57,3,player2,2,0,6,False,True,hare
57,4,player1,1,14,4,False,True,stag
57,4,player2,3,12,6,False,True,stag
57,5,player1,13,13,15,False,True,stag
57,5,player2,14,12,14,False,True,stag
58,1,player1,19,15,0,False,True,hare
58,1,player2,8,0,15,False,True,hare
58,2,player1,0,6,3,False,True,miss
58,2,player2,5,1,4,False,True,miss
58,3,player1,6,12,13,False,True,stag
58,3,player2,6,12,13,False,True,stag
58,4,player1,14,10,8,False,True,stag
58,4,player2,15,11,9,False,True,stag
58,5,player1,13,4,5,False,True,stag
58,5,player2,14,5,6,False,True,stag
59,1,player1,16,0,21,False,True,hare
59,1,player2,8,18,3,False,True,hare
59,2,player1,9,13,7,False,True,stag
59,2,player2,15,7,3,False,True,stag
59,3,player1,20,16,20,False,True,stag
59,3,player2,19,15,19,False,True,stag
59,4,player1,25,11,28,False,True,stag
59,4,player2,25,11,28,False,True,stag
59,5,player1,1,14,21,False,True,miss
59,5,player2,2,15,22,False,True,miss
60,1,player1,6,1,12,False,False,hare
60,1,player2,8,13,16,False,False,hare
60,2,player1,1,7,14,False,False,hare
60,2,player2,5,1,8,False,False,hare
60,3,player1,13,1,10,False,False,hare
60,3,player2,1,13,16,False,False,hare
60,4,player1,9,1,3,False,False,hare
60,4,player2,10,0,2,False,False,hare
60,5,player1,1,9,10,False,False,hare
60,5,player2,8,4,3,False,False,hare
61,2,player1,5,12,4,True,True,stag
61,2,player2,6,13,5,True,True,stag
61,3,player1,11,1,9,True,True,miss
61,3,player2,7,9,9,True,True,miss
61,4,player1,8,13,16,True,True,stag
61,4,player2,9,14,17,True,True,stag
61,5,player1,12,15,8,True,True,stag
61,5,player2,12,15,8,True,True,stag
62,2,player1,8,0,11,True,True,miss
62,2,player2,11,3,14,True,True,miss
62,3,player1,0,9,4,True,True,miss
62,3,player2,2,11,6,True,True,miss
62,4,player1,12,1,13,True,True,miss
62,4,player2,8,11,3,True,True,miss
62,5,player1,4,11,3,True,True,stag
62,5,player2,5,10,2,True,True,stag
63,2,player1,7,1,18,False,True,stag
63,2,player2,8,2,19,False,True,stag
63,3,player1,13,4,2,False,True,stag
63,3,player2,13,4,2,False,True,stag
63,4,player1,7,12,6,False,True,stag
63,4,player2,6,11,5,False,True,stag
63,5,player1,7,5,9,False,True,stag
63,5,player2,7,5,9,False,True,stag
64,1,player1,6,15,0,True,False,hare
64,1,player2,9,0,15,True,False,hare
64,2,player1,12,5,10,True,False,stag
64,2,player2,9,14,1,True,False,stag
64,3,player1,2,9,5,True,False,hare
64,3,player2,11,0,4,True,False,hare
64,4,player1,6,2,8,True,False,miss
64,4,player2,4,0,6,True,False,miss
64,5,player1,6,0,7,True,False,hare
64,5,player2,1,7,4,True,False,hare
65,2,player1,19,13,8,True,False,stag
65,2,player2,20,14,9,True,False,stag
65,3,player1,10,9,9,True,False,stag
65,3,player2,9,10,8,True,False,stag
65,4,player1,8,14,15,True,False,stag
65,4,player2,7,13,14,True,False,stag
65,5,player1,5,12,6,True,False,stag
65,5,player2,6,11,5,True,False,stag
66,2,player1,6,13,12,False,True,stag
66,2,player2,7,14,11,False,True,stag
66,3,player1,15,11,21,False,True,stag
66,3,player2,15,11,21,False,True,stag
66,4,player1,12,17,16,False,True,stag
66,4,player2,12,17,16,False,True,stag
66,5,player1,8,11,16,False,True,stag
66,5,player2,8,11,16,False,True,stag
67,1,player1,14,1,5,False,True,hare
67,1,player2,11,4,0,False,True,hare
67,2,player1,1,7,2,False,True,hare
67,2,player2,1,7,2,False,True,hare
67,3,player1,23,0,5,False,True,hare
67,3,player2,22,5,0,False,True,hare
67,4,player1,8,12,0,False,True,hare
67,4,player2,1,17,9,False,True,hare
67,5,player1,8,10,5,False,True,hare
67,5,player2,1,1,6,False,True,hare
68,1,player1,0,9,3,True,True,hare
68,1,player2,6,13,3,True,True,hare
68,2,player1,10,12,4,True,True,stag
68,2,player2,15,3,11,True,True,stag
68,3,player1,9,1,17,True,True,hare
68,3,player2,2,8,12,True,True,hare
68,4,player1,1,11,4,True,True,hare
68,4,player2,13,1,10,True,True,hare
68,5,player1,1,14,12,True,True,hare
68,5,player2,12,1,11,True,True,hare
69,1,player1,6,10,13,True,True,hare
69,1,player2,16,0,3,True,True,hare
69,2,player1,7,0,12,True,True,hare
69,2,player2,17,10,2,True,True,hare
69,3,player1,0,9,16,True,True,hare
69,3,player2,13,4,3,True,True,hare
69,4,player1,7,6,13,True,True,hare
69,4,player2,0,3,16,True,True,hare
69,5,player1,5,1,5,True,True,hare
69,5,player2,3,1,5,True,True,hare
70,1,player1,0,4,10,False,True,miss
70,1,player2,3,5,7,False,True,miss
70,2,player1,3,1,9,False,True,miss
70,2,player2,1,5,13,False,True,miss
70,3,player1,19,14,12,False,True,stag
70,3,player2,18,13,11,False,True,stag
70,4,player1,22,6,14,False,True,stag
70,4,player2,20,4,12,False,True,stag
70,5,player1,12,2,12,False,True,stag
70,5,player2,13,1,13,False,True,stag
71,1,player1,1,12,16,False,False,hare
71,1,player2,11,0,6,False,False,hare
71,2,player1,0,1,10,False,False,miss
71,2,player2,11,12,1,False,False,miss
71,3,player1,0,16,12,False,False,miss
71,3,player2,10,6,4,False,False,miss
71,4,player1,15,0,3,False,False,hare
71,4,player2,0,15,14,False,False,hare
71,5,player1,11,0,10,False,False,miss
71,5,player2,6,15,9,False,False,miss
72,1,player1,12,0,3,False,True,hare
72,1,player2,4,16,17,False,True,hare
72,2,player1,13,3,6,False,True,stag
72,2,player2,13,13,8,False,True,stag
72,3,player1,11,12,3,False,True,hare
72,3,player2,0,1,14,False,True,hare
72,4,player1,1,17,14,False,True,hare
72,4,player2,17,1,4,False,True,hare
72,5,player1,0,12,6,False,True,hare
72,5,player2,8,4,4,False,True,hare
73,1,player1,19,1,9,True,False,hare
73,1,player2,10,8,0,True,False,hare
73,2,player1,0,19,13,True,False,hare
73,2,player2,16,15,3,True,False,hare
73,3,player1,0,13,13,True,False,hare
73,3,player2,4,17,17,True,False,hare
73,4,player1,1,12,8,True,False,hare
73,4,player2,9,20,6,True,False,hare
73,5,player1,13,1,17,True,False,hare
73,5,player2,5,7,13,True,False,hare
74,2,player1,14,14,12,False,False,stag
74,2,player2,14,14,12,False,False,stag
74,3,player1,7,13,12,False,False,stag
74,3,player2,7,13,12,False,False,stag
74,4,player1,17,6,23,False,False,stag
74,4,player2,16,5,22,False,False,stag
74,5,player1,4,2,14,False,False,stag
74,5,player2,5,3,15,False,False,stag
75,1,player1,0,4,3,True,False,hare
75,1,player2,4,8,7,True,False,hare
75,2,player1,4,10,4,True,False,hare
75,2,player2,10,0,6,True,False,hare
75,3,player1,10,11,16,True,False,stag
75,3,player2,6,7,12,True,False,stag
75,4,player1,10,6,0,True,False,miss
